"City","Region","Sub-regions"
"Kampala","Central","Buganda"
"Fort Portal","Western","Rwenzori"
"Hoima","Western","Bunyoro"
"Arua","Northern","West Nile"
"Mbarara","Western","Ankole"
"Entebbe","Central","Buganda"
"Jinja","Eastern","Busoga"
"Mbale","Eastern","Bugisu"
"Lira","Northern","Lango"
"Gulu","Northern","Acholi"
"Masaka","Central","Buganda"
